scorer,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi,Hadi
individuals,Larva1,Larva1,Larva1,Larva1,Larva1,Larva1,Larva2,Larva2,Larva2,Larva2,Larva2,Larva2,Larva3,Larva3,Larva3,Larva3,Larva3,Larva3,Larva4,Larva4,Larva4,Larva4,Larva4,Larva4,Larva5,Larva5,Larva5,Larva5,Larva5,Larva5
bodyparts,Mid,Mid,Front,Front,Back,Back,Mid,Mid,Front,Front,Back,Back,Mid,Mid,Front,Front,Back,Back,Mid,Mid,Front,Front,Back,Back,Mid,Mid,Front,Front,Back,Back
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/MR1_cropped/img0020c0.png,,,,,,,,,,,,,24.588845077485416,63.260329403071296,39.05246617524199,69.76464630190247,50.649135056611726,74.95253297762758,,,,,,,,,,,,
labeled-data/MR1_cropped/img0020c1.png,,,,,,,,,,,,,,,,,,,,,,,,,219.23158539222857,19.681517271414123,230.03417656460022,29.66018865626586,240.5947316428069,34.553266055996914
labeled-data/MR1_cropped/img0020c2.png,,,,,,,,,,,,,26.588845077485416,72.2603294030713,41.05246617524199,78.76464630190247,52.649135056611726,83.95253297762758,,,,,,,,,,,,
labeled-data/MR1_cropped/img0020c3.png,,,,,,,153.69730915118032,124.52698553796546,169.9455288349087,125.38288191892698,180.3260847941135,130.71857565575007,321.5888450774854,246.2603294030713,336.052466175242,252.76464630190247,347.6491350566117,257.9525329776276,,,,,,,,,,,,
labeled-data/MR1_cropped/img0020c4.png,,,,,,,,,,,,,,,,,,,,,,,,,395.23158539222857,191.68151727141412,,,,
labeled-data/MR1_cropped/img0020c5.png,,,,,,,,,,,,,,,,,,,,,,,,,263.23158539222857,269.6815172714141,274.0341765646002,279.66018865626586,284.5947316428069,284.5532660559969
labeled-data/MR1_cropped/img0020c6.png,,,,,,,,,,,,,,,,,,,,,,,,,161.23158539222857,235.68151727141412,172.03417656460022,245.66018865626586,182.5947316428069,250.55326605599691
labeled-data/MR1_cropped/img0020c7.png,,,,,,,,,,,,,,,,,,,,,,,,,145.23158539222857,163.68151727141412,156.03417656460022,173.66018865626586,166.5947316428069,178.55326605599691
labeled-data/MR1_cropped/img0020c8.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/MR1_cropped/img0020c9.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data/MR1_cropped/img0042c0.png,,,,,,,,,,,,,122.03227883151465,332.45050616663923,136.56306115052814,336.8915928885223,148.08510752340578,343.4242954560841,,,,,,,,,,,,
labeled-data/MR1_cropped/img0042c1.png,,,,,,,,,,,,,,,,,,,,,,,,,260.01420292307904,135.62899308675833,250.71642805914098,142.22247731693028,260.29211077354614,149.00341588135484
labeled-data/MR1_cropped/img0042c2.png,,,,,,,191.42563153169522,121.78551418403185,206.27801189030674,123.98336408529045,218.46488521658773,127.95308162675207,363.03227883151465,244.45050616663923,377.56306115052814,248.89159288852233,389.0851075234058,255.4242954560841,,,,,,,,,,,,
labeled-data/MR1_cropped/img0042c3.png,,,,,,,,,,,,,180.03227883151465,116.45050616663923,194.56306115052814,120.89159288852233,206.08510752340578,127.42429545608411,,,,,,,,,,,,
labeled-data/MR1_cropped/img0042c4.png,,,,,,,,,,,,,34.032278831514645,353.45050616663923,48.56306115052814,357.8915928885223,60.08510752340578,364.4242954560841,,,,,,,,,,,,
labeled-data/MR1_cropped/img0042c5.png,,,,,,,,,,,,,,,,,,,161.01497193671116,261.09707395739315,172.80950590931616,251.21298963305662,180.7215235660551,240.001889243454,,,,,,
labeled-data/MR1_cropped/img0042c6.png,,,,,,,,,,,,,,,,,,,159.01497193671116,92.09707395739315,170.80950590931616,82.21298963305662,178.7215235660551,71.001889243454,,,,,,
labeled-data/MR1_cropped/img0042c7.png,214.31381465431565,256.0538130740103,200.11014841973514,250.32453053334598,187.86273787909255,246.51738651875064,,,,,,,,,,,,,,,,,,,,,,,,
