scorer,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG,JD_Black_BG
bodyparts,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Record8/img013257.png,495.04823081499103,8.421184247471729,472.35187388459246,31.692132492563942,405.69928138013086,96.62095105294466,386.1631766805473,96.90824671029148,388.174246281975,76.51025503866745,458.2743866745984,10.719549506246267
labeled-data/Record8/img018730.png,248.6435601796577,93.64289021547546,232.2333037694013,127.58228415486943,174.05148558758313,196.20699277957806,157.26826880436636,197.69883427141954,156.52234805844557,181.6615382341235,210.97456251066006,110.79906737165263
labeled-data/Record8/img019593.png,171.1186525669452,156.7051222923418,175.79885041787477,192.4752058673034,103.25578372846664,268.02697117516624,92.22388879413268,265.0182725567115,91.88958894763772,249.640479617943,154.73796008869175,180.44041139348454
labeled-data/Record8/img020662.png,219.7468360907385,108.40466177724707,214.28887941326963,142.85801330376933,156.29808971516286,210.74134947978843,140.26534197509807,212.10583864915566,136.17187446699637,196.75533549377445,194.50378645744496,128.87199931775535
labeled-data/Record8/img020924.png,395.3243902439023,276.91127804878045,357.84536585365845,279.9707902439024,273.32634146341456,323.18639999999994,259.17609756097556,319.3620097560975,261.470731707317,304.82932682926827,352.1087804878048,259.31908292682925
labeled-data/Record8/img038785.png,399.01025754733064,207.51951765307857,388.339952242879,237.96127102166116,314.27548012962643,303.55226539314333,302.0360122804025,301.6692703394166,300.7806822445846,286.29147740064803,368.25467166979354,220.70048302916587
labeled-data/Record8/img040454.png,358.8935419393218,269.420558143962,327.5783152885187,287.3149733729923,243.79991671624032,340.59152780487807,226.31219274241522,340.99821906008333,229.15903152885187,322.2904213206425,319.444490184414,264.5402630814992
labeled-data/Record8/img063101.png,362.8040832338394,190.1217349479788,351.0558314855876,227.08574654613676,286.8702609585537,295.28291523111034,269.39115469895955,294.7098297799761,267.0988128944227,280.3826935016203,333.29018250042645,211.8989820910796
labeled-data/Record8/img067569.png,413.30648661511,206.37904285544315,389.3975181439618,238.58973649018438,304.38785246876853,276.77767224271264,288.7806091612135,271.79663714455677,298.4106103509815,253.20077277810822,380.4316549672813,218.66559609756092
labeled-data/Record8/img102129.png,346.0663039399625,269.2795722326453,324.6779362101313,239.26081050656654,285.2783114446529,157.83491932457784,290.90682926829265,143.95124202626639,307.79238273921203,148.8292908067542,346.0663039399625,230.6304165103189
labeled-data/Record8/img102847.png,271.3366433566433,381.5721187105578,253.92576155551762,342.3976346580249,282.8119972710216,256.13462937062934,296.6615623400989,251.38620706123146,304.97130138154523,263.25726283472625,279.64638239808966,348.33316254477234
labeled-data/Record8/img121671.png,293.00422843545505,120.2630916835217,334.5389720404521,110.99500839976203,391.5205211183818,66.0276413563355,408.3403759666864,67.74395307555025,411.42973706127293,81.47444682926827,337.28507079119566,136.39642184414038
labeled-data/Record8/img126844.png,144.3994530672579,263.65896844618794,152.47722894991185,224.27981101825003,232.91841378134055,171.10111979077834,245.37165160043205,178.5057476832111,243.01563363465797,189.94926351697083,173.3448166467678,241.10851077377907
labeled-data/Record8/img131568.png,201.0333729922665,114.18525877453892,240.5831647828673,111.94659131469359,333.48786436644843,110.45414634146337,343.93497917905995,119.03570493753713,339.08453301606176,129.48281975014868,239.09071980963708,135.079488399762
labeled-data/Record8/img144167.png,311.62274598453297,123.80983386079713,353.6985008923259,112.45605872694823,393.1027792980368,57.02292130874477,408.46376918500886,50.34423005353952,414.8085258774538,59.69439781082684,360.7111267102914,135.16360899464604
labeled-data/Record8/img152523.png,96.6363010972767,269.79043697765644,127.37369378588889,253.43476013417472,174.7487577463187,206.62368503041674,194.48836772983108,205.2137128887373,193.07839558815164,217.9034621638524,128.78366592756834,281.35220853942803
labeled-data/Record8/img160228.png,77.51966228893059,316.06681425891173,104.1362976860538,282.7960200125077,165.07438398999375,216.604650406504,179.08313946216384,220.80727704815504,180.13379612257665,232.36450031269538,123.04811757348341,302.7584965603501
labeled-data/Record8/img161856.png,355.6232406617771,297.34984342486774,318.07249872079126,284.14841071123993,254.1188913525498,204.0597189152311,258.5193689237591,192.325112058673,273.1876274944567,194.67203342998462,333.9142179771447,266.5465004264028
labeled-data/Record8/img163785.png,343.56942520893733,280.27189698106764,300.87455909943714,273.3948715674569,240.12750127920856,185.1397120927852,247.00452669281935,171.38566126556364,260.1854920689067,176.54343032577174,314.62860992665867,254.48305168002724
labeled-data/Record8/img167456.png,258.4447222696003,344.6637782705099,232.496686565467,321.31054613679,187.27296719540618,231.97516606970265,198.76424015009377,223.44938290977313,209.14345443174707,229.3803624992893,254.73786002615267,312.04339052817096
labeled-data/Record8/img175220.png,248.48709875490363,306.7975664335663,220.54236056626303,291.07865120245594,191.72434930922736,197.63843288418892,209.62644721132529,197.20179634999138,210.93635681391777,207.68107317073162,238.4444584683609,278.4161917107282
labeled-data/Record8/img176315.png,275.7713150264369,280.2380576496674,249.98246972539653,256.4959461026778,203.72628688384782,178.72006344874637,211.91322190005116,164.39292717039058,226.24035817840695,169.30508818011256,272.4965410199556,246.26227733242365
labeled-data/Record8/img181231.png,303.01819887429644,283.7726303939961,280.9134743305475,257.24696094149743,234.8619648644039,177.66995258400127,242.23020637898685,162.56505747910617,259.54557393825684,166.24917823639765,304.1234351014839,249.5103073511853
labeled-data/Record8/img202309.png,293.6278572278404,385.0018930636525,331.237470553242,373.0921821772754,389.84578465199274,301.6339168590124,403.3225627602616,301.3205034146341,409.2774182034502,312.6033874122545,349.10203688280774,393.46405606186784
