scorer,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws,ws
bodyparts,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,Spine0,Spine0,Spine1,Spine1,Spine2,Spine2,Spine3,Spine3,Spine4,Spine4,Spine5,Spine5
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/Record1-11/img000369.png,307.3524718524719,276.55915705915714,315.77648027648036,243.51112401112408,376.04054054054063,198.79907929907938,387.05655155655165,202.68708318708326,379.92854442854446,209.16708966708978,330.03249453249464,252.5831330831332,315.77648027648036,262.30314280314286,322.25648675648677,248.04712854712864,330.6804951804952,235.73511623511632,341.04850554850555,223.42310392310407,355.3045198045198,213.70309420309434,370.85653535653535,205.92708642708646
labeled-data/Record1-11/img000588.png,377.33654183654187,283.0391635391636,379.92854442854446,270.7271512271513,357.24852174852185,259.06313956313966,346.23251073251083,266.1911466911468,341.6965061965062,252.5831330831332,394.18455868455874,277.20715770715776,382.52054702054704,279.15115965115973,387.70455220455233,273.3191538191539,389.00055350055356,252.5831330831332,384.46454896454907,236.383116883117,368.91253341253343,232.49511299511306,354.0085185085186,244.15912465912476
labeled-data/Record1-11/img000964.png,319.0164835164836,286.27916677916687,329.38449388449396,261.00714150714157,340.400504900505,198.15107865107876,346.23251073251083,187.13506763506774,355.3045198045198,196.85507735507747,346.23251073251083,265.5431460431461,332.6244971244972,276.55915705915714,337.1605016605017,263.5991440991442,340.400504900505,249.34312984312993,344.9365094365095,233.14311364311374,346.8805113805114,216.94309744309754,347.52851202851207,203.33508383508394
labeled-data/Record1-11/img000982.png,311.24047574047574,309.60719010719015,315.1284796284797,283.0391635391636,339.7525042525043,217.59109809109816,350.76851526851533,213.05509355509366,354.65651915651927,222.12710262710272,329.38449388449396,288.2231687231688,318.36848286848294,295.99917649917654,322.25648675648677,285.6311661311662,326.1444906444907,273.3191538191539,331.97649647649655,257.76713826713836,339.10450360450363,241.56712206712217,344.9365094365096,226.66310716310727
labeled-data/Record1-11/img001068.png,491.384655884656,276.55915705915714,467.40863190863195,287.57516807516816,412.9765774765775,282.391162891163,411.6805761805763,272.0231525231526,420.7525852525853,271.37515187515197,465.46462996463003,269.43114993115,475.8326403326404,275.91115641115647,466.1126306126307,277.20715770715776,455.74462024462036,281.7431622431623,445.37660987661,286.9271674271675,433.06459756459765,284.9831654831656,422.0485865485866,280.447160947161
labeled-data/Record1-11/img001072.png,492.68065718065725,303.12718362718374,471.2966357966359,292.75917325917334,414.27257877257887,284.9831654831656,410.38457488457493,273.3191538191539,420.7525852525853,273.3191538191539,482.3126468126469,281.7431622431623,483.60864810864825,294.7031752031753,476.48064098064106,286.27916677916687,462.87262737262745,279.7991602991604,449.9126144126145,284.3351648351649,435.65660015660023,285.6311661311662,423.344587844588,281.7431622431623
labeled-data/Record1-11/img001268.png,291.8004563004563,268.7831492831494,302.16846666846664,240.27112077112088,372.1525366525367,214.99909549909557,377.33654183654187,223.423103923104,370.85653535653546,228.60710910710918,313.83247833247833,250.63913113913122,302.16846666846664,255.17513567513578,308.0004725004726,244.80712530712538,319.6644841644843,234.43911493911503,335.2164997164998,226.66310716310727,350.12051462051477,222.77510327510333,364.37652887652894,220.83110133110137
labeled-data/Record1-11/img001271.png,291.1524556524556,262.30314280314286,302.16846666846664,237.03111753111762,370.85653535653546,211.75909225909237,377.336541836542,216.29509679509687,370.85653535653546,222.12710262710272,314.480478980479,246.75112725112734,300.8724653724654,250.63913113913122,308.64847314847316,240.9191214191215,319.0164835164836,231.19911169911177,333.9204984204986,222.12710262710272,350.76851526851533,216.94309744309754,366.32053082053085,216.94309744309754
labeled-data/Record1-11/img001421.png,405.20056970056976,222.7751032751034,382.52054702054704,242.86312336312346,341.04850554850566,286.27916677916687,331.97649647649655,286.9271674271675,329.38449388449396,277.20715770715776,372.1525366525367,232.49511299511306,389.00055350055356,229.25510975510986,378.6325431325432,236.383116883117,368.91253341253343,244.15912465912476,358.5445230445231,252.5831330831332,348.8245133245134,262.95114345114354,339.10450360450363,275.91115641115647
labeled-data/Record1-11/img004711.png,314.480478980479,229.25510975510986,352.0645165645167,224.7191052191053,387.70455220455233,274.6151551151552,383.8165483165484,283.0391635391636,376.6885411885413,279.15115965115973,345.58451008451016,240.9191214191215,335.2164997164998,230.55111105111115,348.8245133245133,233.14311364311374,361.1365256365257,237.03111753111762,370.2085347085348,248.69512919512925,377.33654183654187,262.30314280314286,381.2245457245458,272.67115317115326
labeled-data/Record1-11/img006533.png,265.23242973242975,249.9911304911306,300.2244647244647,248.04712854712864,324.2004887004888,237.03111753111767,328.0884925884926,228.60710910710918,337.8085023085024,233.14311364311374,302.8164673164673,262.95114345114354,285.96845046845044,253.2311337311338,301.5204660204661,255.8231363231364,316.4244809244809,256.47113697113707,330.6804951804952,256.47113697113707,338.45650295650296,249.34312984312993,333.92049842049846,240.9191214191215
labeled-data/Record1-11/img017524.png,358.5445230445231,145.66302616302625,360.488524988525,176.11905661905672,370.85653535653546,229.90311040311047,370.85653535653546,238.97511947511958,359.1925236925239,238.3271188271189,342.99250749250757,174.82305532305543,354.0085185085186,161.86304236304244,352.0645165645167,174.82305532305543,350.12051462051465,189.07906957906965,350.76851526851533,203.33508383508394,352.71251721251724,216.94309744309754,360.488524988525,228.60710910710912
labeled-data/Record1-11/img023754.png,381.8725463725465,282.391162891163,352.0645165645167,279.7991602991604,352.71251721251724,222.7751032751034,364.37652887652905,222.12710262710272,363.0805275805277,230.55111105111115,361.78452628452635,267.4871479871481,370.85653535653546,277.85515835515844,357.24852174852185,273.3191538191539,344.9365094365096,266.1911466911468,339.10450360450363,253.2311337311338,344.2885087885088,240.27112077112082,354.0085185085186,230.55111105111115
labeled-data/Record1-11/img023870.png,360.488524988525,185.19106569106577,378.6325431325432,209.16708966708978,357.8965223965224,265.5431460431461,345.58451008451016,260.35914085914095,352.71251721251724,250.63913113913122,364.37652887652894,211.75909225909237,366.9685314685315,199.44707994708006,371.504536004536,210.46309096309108,375.39253989253996,224.7191052191053,376.6885411885413,238.97511947511958,374.0965385965386,250.63913113913122,362.432526932527,257.1191376191377
labeled-data/Record1-11/img024364.png,258.10442260442267,246.10312660312667,293.7444582444583,243.51112401112408,327.44049194049205,234.43911493911503,335.8645003645004,229.90311040311047,339.7525042525043,237.6791181791183,294.3924588924589,261.00714150714157,280.1364446364447,250.63913113913122,294.3924588924589,251.93513243513252,306.0564705564706,256.47113697113707,319.0164835164836,257.76713826713836,330.03249453249464,253.87913437913448,332.6244971244972,242.21512271512285
labeled-data/Record1-11/img024958.png,278.84044334044336,286.27916677916687,311.88847638847653,266.1911466911468,377.98454248454254,259.06313956313966,380.57654507654513,266.1911466911468,373.44853794853805,269.43114993115,317.72048222048227,282.391162891163,301.5204660204661,279.15115965115973,316.42448092448103,273.96715446715456,329.38449388449396,268.1351486351487,342.3445068445069,264.24714474714483,357.24852174852185,261.0071415071416,370.2085347085348,262.30314280314286
labeled-data/Record1-11/img028449.png,300.2244647244647,161.8630423630425,335.8645003645004,152.7910332910334,362.432526932527,213.70309420309428,354.0085185085186,221.47910197910204,346.23251073251083,214.35109485109496,331.97649647649655,167.6950481950483,319.0164835164836,159.91904041904053,334.56849906849914,159.91904041904053,347.52851202851207,167.04704754704767,352.71251721251724,180.65506115506128,353.3605178605179,195.55907605907618,354.0085185085186,209.8150903150904
labeled-data/Record1-11/img033609.png,302.16846666846664,251.2871317871319,316.42448092448103,258.415138915139,339.10450360450363,220.18310068310075,347.52851202851207,214.35109485109496,352.71251721251724,226.66310716310727,314.480478980479,276.55915705915714,306.70447120447125,262.95114345114354,316.42448092448103,267.4871479871481,328.0884925884926,266.1911466911468,333.92049842049846,252.5831330831332,339.10450360450363,238.97511947511958,342.99250749250757,228.60710910710918
labeled-data/Record1-11/img033789.png,349.472513972514,182.5990630990632,363.72852822852826,209.8150903150904,361.1365256365257,275.9111564111565,347.52851202851207,275.26315576315585,352.0645165645167,265.5431460431461,348.8245133245134,212.407092907093,353.3605178605179,198.79907929907938,357.24852174852185,211.75909225909237,361.1365256365257,226.0151065151066,363.0805275805276,240.27112077112088,365.0245295245296,252.5831330831332,361.78452628452635,266.1911466911468
labeled-data/Record1-11/img036423.png,423.344587844588,216.29509679509687,396.7765612765613,234.43911493911503,392.2405567405568,266.8391473391474,391.59255609255615,275.26315576315585,381.2245457245458,273.9671544671545,386.408550908551,222.7751032751034,405.84857034857043,221.47910197910204,392.2405567405568,227.95910845910856,377.98454248454254,236.383116883117,369.5605340605341,244.80712530712538,370.2085347085348,255.17513567513578,380.57654507654513,264.8951453951455
labeled-data/Record1-11/img036706.png,473.2406377406378,267.4871479871481,442.13660663660676,281.0951615951617,383.8165483165484,254.5271350271351,383.1685476685477,244.80712530712538,393.53655803655806,244.80712530712538,445.3766098766099,266.1911466911468,459.6326241326242,271.37515187515197,444.72860922860934,273.3191538191539,429.8245943245944,272.67115317115326,416.2165807165808,268.1351486351487,403.25656775656785,261.00714150714157,392.2405567405568,253.2311337311338
labeled-data/Record1-11/img037508.png,330.6804951804952,279.15115965115973,325.49648999649,257.76713826713836,324.2004887004888,198.15107865107876,324.84848934848935,187.13506763506774,335.8645003645004,191.02307152307162,342.3445068445069,261.00714150714157,331.3284958284959,268.1351486351487,333.2724977724978,260.35914085914095,333.92049842049846,244.80712530712538,335.2164997164998,229.25510975510986,337.1605016605017,214.35109485109496,333.92049842049846,199.44707994708006
labeled-data/Record1-11/img038165.png,338.45650295650296,285.6311661311662,346.23251073251083,264.24714474714483,330.6804951804952,253.2311337311338,320.31248481248485,256.47113697113707,321.6084861084862,244.15912465912476,366.9685314685315,272.0231525231526,350.76851526851533,277.20715770715776,355.9525204525205,267.4871479871481,358.5445230445231,256.47113697113707,355.3045198045198,246.10312660312667,344.9365094365095,239.6231201231202,333.92049842049846,240.9191214191215
labeled-data/Record1-11/img040199.png,259.4004239004239,247.39912789912796,294.3924588924589,246.10312660312667,324.84848934848935,231.84711234711244,330.6804951804952,226.0151065151066,336.51250101250105,233.14311364311374,295.6884601884602,263.5991440991442,281.43244593244594,251.93513243513252,294.3924588924589,254.5271350271351,308.0004725004726,257.76713826713836,320.31248481248485,259.06313956313966,331.97649647649655,252.5831330831332,331.3284958284959,240.9191214191215
labeled-data/Record1-11/img040223.png,274.9524394524394,240.9191214191215,311.24047574047574,244.80712530712538,368.2645327645329,252.5831330831332,377.98454248454254,255.8231363231364,370.85653535653546,263.59914409914416,311.24047574047574,258.415138915139,295.6884601884602,249.34312984312993,311.24047574047574,251.2871317871319,324.84848934848935,255.17513567513578,337.8085023085023,258.415138915139,352.0645165645167,260.35914085914095,363.0805275805277,259.06313956313966
labeled-data/Record1-11/img045538.png,397.424561924562,283.0391635391636,367.6165321165322,281.7431622431623,350.12051462051465,224.07110457110468,363.72852822852826,221.47910197910204,363.72852822852826,231.84711234711244,372.1525366525367,269.43114993115,383.1685476685477,279.15115965115973,369.5605340605341,274.6151551151552,356.60052110052106,270.0791505791506,345.58451008451004,260.35914085914095,342.99250749250757,244.80712530712538,352.71251721251724,233.14311364311374
